ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   21
   363  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   366  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   367  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   368  IFO197      *** MNOTE ***
   370  IFO078      UNDEFINED OP CODE
   371  IFO078      UNDEFINED OP CODE
   372  IFO078      UNDEFINED OP CODE
   375  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   378  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   379  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   380  IFO197      *** MNOTE ***
   382  IFO078      UNDEFINED OP CODE
   383  IFO078      UNDEFINED OP CODE
   384  IFO078      UNDEFINED OP CODE
   387  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   390  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   391  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   392  IFO197      *** MNOTE ***
   394  IFO078      UNDEFINED OP CODE
   395  IFO078      UNDEFINED OP CODE
   396  IFO078      UNDEFINED OP CODE
   399  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   402  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   403  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   404  IFO197      *** MNOTE ***
   406  IFO078      UNDEFINED OP CODE
   407  IFO078      UNDEFINED OP CODE
   408  IFO078      UNDEFINED OP CODE
   411  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   414  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   415  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   416  IFO197      *** MNOTE ***
   418  IFO078      UNDEFINED OP CODE
   419  IFO078      UNDEFINED OP CODE
   422  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   425  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   426  IFO197      *** MNOTE ***
   428  IFO078      UNDEFINED OP CODE
   429  IFO078      UNDEFINED OP CODE
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   27
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0  432  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   435  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   436  IFO197      *** MNOTE ***
   438  IFO078      UNDEFINED OP CODE
   439  IFO078      UNDEFINED OP CODE
   442  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   445  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   446  IFO197      *** MNOTE ***
   448  IFO078      UNDEFINED OP CODE
   451  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   454  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   455  IFO197      *** MNOTE ***
   457  IFO078      UNDEFINED OP CODE
0NUMBER OF STATEMENTS FLAGGED IN THIS ASSEMBLY =   260
 HIGHEST SEVERITY WAS   12
 OPTIONS FOR THIS ASSEMBLY
   ALIGN, ALOGIC, BUFSIZE(STD), NODECK, ESD, FLAG(0), LINECOUNT(55), LIST, NOMCALL, YFLAG, WORKSIZE(2097152)
   NOMLOGIC, NONUMBER, NOOBJECT, NORENT, RLD, NOSTMT, NOLIBMAC, NOTERMINAL, NOTEST, XREF(SHORT)
   SYSPARM()
 WORK FILE BUFFER SIZE/NUMBER =19066/ 1
 TOTAL RECORDS READ FROM SYSTEM INPUT        311
 TOTAL RECORDS READ FROM SYSTEM LIBRARY      881
 TOTAL RECORDS PUNCHED                         0
 TOTAL RECORDS PRINTED                      1217
