module	as370_rc	as370_flagged	as370_severity	as370_messages	ifox_rc	ifox_flagged	ifox_severity	ifox_messages	tool	first_diff	len_ifox	len_as370	dlib	signal
IGFPEXIT	8	1	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)	0000				bytes				text	as370 alone flags
IGG01916	8	14	8	Undefined symbol	0000				bytes				length	as370 alone flags
IGG0191C	8	77	8	Undefined symbol	0000				bytes	0x00024	1144	1144	length	as370 alone flags
IGG0191N	8	93	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0) | Undefined symbol	0000				bytes				length	as370 alone flags
IGG0191P	8	25	8	Undefined symbol	0000				bytes	0x00026	544	544	text	as370 alone flags
IGG0191W	8	46	8	Undefined symbol	0000				bytes	0x00030	1226	1226	text	as370 alone flags
IGG0191X	8	35	8	Undefined symbol	0000				bytes	0x0002e	1106	1106	text	as370 alone flags
IGG01931	8	18	8	IFO117 first expression in substring notation exceeds the length of the string | Addressability error - no active USING covers the operand's section (base and displacement set to 0) | Undefined symbol	0008				bytes	0x00044	1127	1127	length	both flag
IGG01936	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IGG01937	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				bytes				length	both flag
IGG01938	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IGG01945	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IGG0194Q	8	17	8	Undefined symbol	0000				cards	0x00098	1344	1465	length	as370 alone flags
IGG0196K	8	48	8	Undefined symbol	0000				bytes				length	as370 alone flags
IGG0196L	8	27	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0) | Undefined symbol	0000				bytes				length	as370 alone flags
IGG0196P	8	27	8	Undefined symbol	0000				bytes				text	as370 alone flags
IGG0197E	8	44	8	Undefined symbol	0000				bytes	0x00030	1016	1016	length	as370 alone flags
IGG0197N	8	51	8	Undefined symbol	0000				cards				length	as370 alone flags
IGG0197V	8	12	8	Undefined symbol	0000				cards				length	as370 alone flags
IGG0198E	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				bytes				length	both flag
IGG01991	8	15	8	Undefined symbol	0000				bytes				text	as370 alone flags
IGG01993	8	13	8	Undefined symbol	0000				bytes	0x00064	511	511	text	as370 alone flags
IGG01994	8	14	8	Undefined symbol	0000				bytes				text	as370 alone flags
IGG0199L	8	30	8	Undefined symbol	0000				cards	0x00012	1104	1052	length	as370 alone flags
IGG0199O	8	31	8	Undefined symbol	0000				bytes				text	as370 alone flags
