module	as370_rc	ifox_rc	tool	tool_restamped	dlib
ISTRCC53	0	0000	identical		holes
ISTRCC54	0	0000	identical		identical
ISTRCC63	0	0000	identical		identical
ISTRCC65	0	0000	identical		identical
ISTRCC80	0	0000	identical		holes
ISTRCC81	0	0000	identical		holes
ISTRCFY0	0	0000	identical		mixed
ISTSC020	0	0000	identical		holes
ISTSC021	0	0000	identical		holes
ISTSC022	0	0000	identical		holes
ISTSC023	0	0000	identical		identical
ISTSC024	0	0000	identical		holes
ISTSC025	0	0000	identical		holes
ISTSC026	0	0000	identical		holes
ISTSC027	0	0000	identical		mixed
ISTSC028	0	0000	identical		holes
ISTSC029	0	0000	bytes	bytes	length
ISTSC02A	0	0000	identical		holes
ISTSC02B	0	0000	identical		holes
ISTSC02C	0	0000	identical		holes
ISTSC02D	0	0000	identical		holes
ISTSC02E	0	0000	identical		holes
ISTSC02F	0	0000	identical		holes
ISTSC030	0	0000	identical		length
ISTSC031	0	0000	identical		holes
ISTSC032	0	0000	identical		length
ISTSC033	0	0000	identical		identical
ISTSC034	0	0000	identical		length
ISTSDCAL	0	0000	identical		holes
ISTSDCAP	0	0000	identical		length
ISTSDCBU	0	0000	identical		length
ISTSDCC1	8	0000	bytes	bytes	mixed
ISTSDCC2	0	0000	identical		length
ISTSDCC3	0	0000	identical		holes
ISTSDCC4	8	0000	bytes	bytes	mixed
ISTSDCC5	0	0000	identical		holes
ISTSDCC7	0	0000	identical		identical
ISTSDCCA	0	0000	identical		identical
ISTSDCCB	0	0000	identical		length
ISTSDCCD	0	0000	identical		identical
ISTSDCCF	0	0000	identical		holes
ISTSDCCL	0	0000	identical		length
ISTSDCCN	0	0000	identical		identical
