module	as370_rc	as370_flagged	as370_severity	as370_messages	ifox_rc	ifox_flagged	ifox_severity	ifox_messages	tool	first_diff	len_ifox	len_as370	dlib	signal	owner	excluded
IEAVRTI0	0				0008	1	8	IFO007 USAGE OF &CODE IS INCONSISTENT WITH ITS DECLARATION	bytes	0x0002b	3792	3792	text	IFOX00 alone flags	cc370	
IEAVEXS	0				0008	1	8	IFO007 USAGE OF &CODE IS INCONSISTENT WITH ITS DECLARATION	bytes	0x0002b	428	432	text	IFOX00 alone flags	cc370	
IBCDASDI	0				0008	2	8	IFO053 OP CODE NOT FOUND ON FIRST OR ONLY CARD	identical				no-pair	IFOX00 alone flags	cc370	
IBCDMPRS	0				0008	2	8	IFO053 OP CODE NOT FOUND ON FIRST OR ONLY CARD	bytes				no-pair	IFOX00 alone flags	cc370	
IECIOSAM	8	149	8	Undefined operation code | IFO092 keyword parameter PTF is not declared in the macro prototype | IFO092 keyword parameter DATE is not declared in the macro prototype | Undefined symbol	0012	163	12	IFO078 UNDEFINED OP CODE | IFO092 KEYWORD PARAMETER DATE UNDEFINED IN MACRO DEFINITION | IFO092 KEYWORD PARAMETER PTF UNDEFINED IN MACRO DEFINITION | IFO188 IRTRSC2 IS AN UNDEFINED SYMBOL | IFO188 CSTELP2 IS AN UNDEFINED SYMBOL | IFO188 CSTE IS AN UNDEFINED SYMBOL	bytes	0x00660	14913	14913	length	both flag	cc370	
BNGCRMOT	8	38	8	Undefined operation code | Undefined symbol | Addressability error - no active USING covers the operand's section (base and displacement set to 0)	0008	42	8	IFO078 UNDEFINED OP CODE | IFO068 COPY MEMBER DFHCSADS NOT FOUND IN LIBRARY | IFO068 COPY MEMBER DFHTCTTE NOT FOUND IN LIBRARY | IFO068 COPY MEMBER DFHTCADS NOT FOUND IN LIBRARY | IFO068 COPY MEMBER DFHTIOA NOT FOUND IN LIBRARY | IFO188 TCAFCAAA IS AN UNDEFINED SYMBOL	bytes	0x00000	11886	11887	length	both flag	cc370	calls CICS macros; not installed in any target library on MVS/CE
BNGC3270	8	347	8	Undefined symbol | Addressability error - no active USING covers the operand's section (base and displacement set to 0) | Undefined operation code	0008	353	8	IFO068 COPY MEMBER DFHCSADS NOT FOUND IN LIBRARY | IFO068 COPY MEMBER DFHTCTLE NOT FOUND IN LIBRARY | IFO068 COPY MEMBER DFHTCTTE NOT FOUND IN LIBRARY | IFO068 COPY MEMBER DFHTCADS NOT FOUND IN LIBRARY | IFO068 COPY MEMBER DFHTIOA NOT FOUND IN LIBRARY | IFO068 COPY MEMBER DFHFIOA NOT FOUND IN LIBRARY	bytes	0x00000	8344	8180	length	both flag	cc370	calls CICS macros (DFHPC/DFHFC/DFHTC/DFHSC); no CICS here, and no member of any target library on MVS/CE
BNGCDISP	8	480	8	Undefined symbol | Addressability error - no active USING covers the operand's section (base and displacement set to 0) | Undefined operation code	0008	486	8	IFO068 COPY MEMBER DFHCSADS NOT FOUND IN LIBRARY | IFO068 COPY MEMBER DFHTCTTE NOT FOUND IN LIBRARY | IFO068 COPY MEMBER DFHTCTLE NOT FOUND IN LIBRARY | IFO068 COPY MEMBER DFHTIOA NOT FOUND IN LIBRARY | IFO068 COPY MEMBER DFHTCADS NOT FOUND IN LIBRARY | IFO068 COPY MEMBER DFHFIOA NOT FOUND IN LIBRARY	bytes	0x00000	7344	7048	length	both flag	cc370	calls CICS macros; not installed in any target library on MVS/CE
IEWFETCH	8	8	8	Undefined symbol | Undefined operation code	0008	8	8	IFO188 DVC2305A IS AN UNDEFINED SYMBOL | IFO188 DVC2314 IS AN UNDEFINED SYMBOL | IFO188 DVC3340 IS AN UNDEFINED SYMBOL | IFO078 UNDEFINED OP CODE	bytes	0x00250	6930	6930	no-pair	both flag	cc370	
BNGCLOCL	8	38	8	Undefined operation code | Undefined symbol | Addressability error - no active USING covers the operand's section (base and displacement set to 0)	0008	42	8	IFO078 UNDEFINED OP CODE | IFO068 COPY MEMBER DFHCSADS NOT FOUND IN LIBRARY | IFO068 COPY MEMBER DFHTCTTE NOT FOUND IN LIBRARY | IFO068 COPY MEMBER DFHTCADS NOT FOUND IN LIBRARY | IFO068 COPY MEMBER DFHTIOA NOT FOUND IN LIBRARY | IFO188 TCAFCAAA IS AN UNDEFINED SYMBOL	bytes	0x00000	6693	6694	length	both flag	cc370	calls CICS macros; not installed in any target library on MVS/CE
